id,uuid,observed_on,user_id,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,species_guess
1201469,99273d29-255c-4401-8aa1-4104e1da5934,1/29/2015,10766,research,,http://www.inaturalist.org/observations/1201469,https://static.inaturalist.org/photos/1517874/medium.jpg,,,3,0,"Texas, US",30.68393423,-96.18264078,44,29330,obscured,,TRUE,Small-mouthed Salamander
1290992,260ed02e-6191-44fe-9337-9fc57c28fc7f,3/13/2015,74252,research,CC-BY-NC,http://www.inaturalist.org/observations/1290992,https://inaturalist-open-data.s3.amazonaws.com/photos/1619456/medium.JPG,,,2,0,Lick Creek Park,30.560584,-96.206481,51,51,,,FALSE,small-mouthed salamander
1292159,e2921985-d7b2-4c0e-9c9d-21415c204456,3/14/2015,206,research,CC-BY-NC,http://www.inaturalist.org/observations/1292159,https://inaturalist-open-data.s3.amazonaws.com/photos/1620914/medium.jpg,,under rock in broad drainage,1,0,"Boone, Missouri, United States",38.97312119,-92.35516963,50,50,,,FALSE,Small-mouthed Salamander
1299381,7092abdc-70ac-45eb-9c46-0431a001d14b,3/16/2015,18946,research,,http://www.inaturalist.org/observations/1299381,https://static.inaturalist.org/photos/1630862/medium.jpg,,,2,0,"1911 NW Green Oaks Blvd, Arlington, TX, US",32.77894667,-97.1383445,,,,,FALSE,Ambystoma texanum
1304737,32277200-df3f-4aa4-a03d-8a46435cd1cd,3/19/2015,22589,research,CC-BY,http://www.inaturalist.org/observations/1304737,https://inaturalist-open-data.s3.amazonaws.com/photos/1637637/medium.JPG,,"FINALLY found a salamander!  I was just about to give up, after walking through the muck and trash and stagnant water...  I was turning over every log and rock and piece of trash...  Finally flipped over some bark, and saw this nice big one!   :)

Thanks to Corey (http://www.inaturalist.org/observations/1299381) and Mallory (http://www.inaturalist.org/observations/525836) for the location!  :)",1,0,,32.77915,-97.137551,3,3,,,FALSE,Ambystoma texanum
1344137,0ead8fc4-c809-46c8-a177-2afc76b0752c,3/19/2015,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1344137,https://inaturalist-open-data.s3.amazonaws.com/photos/1663012/medium.JPG,,,3,0,"Fort Bend County, US-TX, US",29.596782,-95.811338,57,57,,,FALSE,Small-mouthed Salamander
1361561,3749ef95-4941-4ad7-910a-deb8f4192d94,11/1/2010,14327,research,CC-BY-NC,http://www.inaturalist.org/observations/1361561,https://inaturalist-open-data.s3.amazonaws.com/photos/1683846/medium.jpg,,,1,0,Palmetto State Park,29.58706,-97.584024,14,14,,,FALSE,Small-mouthed Salamander
1388557,0f480fdc-adbf-419a-95ce-a402f98b5a68,4/4/2015,89838,research,,http://www.inaturalist.org/observations/1388557,https://static.inaturalist.org/photos/1716414/medium.jpg,,,2,0,"Waller County, US-TX, US",29.808979,-95.986063,7,7,,,FALSE,Small-mouthed Salamander
1401016,a5688c4e-d6ef-4ec6-88eb-69281c886851,4/16/2015,2098,research,,http://www.inaturalist.org/observations/1401016,https://static.inaturalist.org/photos/1733054/medium.jpg,,,1,0,"8600–9514 Highway 159 E, Bellville, TX, US",30.0204805,-96.1491,,,,,FALSE,Small-mouthed Salamander
1482187,d0754432-6154-4725-9152-71d854dd7d77,4/19/2014,55236,research,CC-BY-NC,http://www.inaturalist.org/observations/1482187,https://inaturalist-open-data.s3.amazonaws.com/photos/2020342/medium.jpg,,,1,0,Duck Creek Wildlife Area,37.045361,-90.098043,6913,6913,,,FALSE,Small-mouthed Salamander
